Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],ReLU,250,0.001,32,88.29268292682927
[4],ReLU,250,0.001,64,86.34146341463415
[4],ReLU,250,0.001,128,84.39024390243902
[4],ReLU,250,0.001,256,84.8780487804878
[4],ReLU,250,0.001,512,84.39024390243902
[4],ReLU,250,0.0001,16,84.8780487804878
[4],ReLU,250,0.0001,32,84.8780487804878
[4],ReLU,250,0.0001,64,82.92682926829268
[4],ReLU,250,0.0001,128,78.04878048780488
[4],ReLU,250,0.0001,256,57.5609756097561
[4],ReLU,250,0.0001,512,75.60975609756098
[4],Sigmoid,1,10.0,16,72.1951219512195
[4],Sigmoid,1,10.0,32,66.82926829268293
[4],Sigmoid,1,10.0,64,57.073170731707314
[4],Sigmoid,1,10.0,128,69.7560975609756
[4],Sigmoid,1,10.0,256,48.78048780487805
[4],Sigmoid,1,10.0,512,47.31707317073171
[4],Sigmoid,1,1.0,16,80.48780487804878
[4],Sigmoid,1,1.0,32,80.97560975609755
[4],Sigmoid,1,1.0,64,82.92682926829268
[4],Sigmoid,1,1.0,128,84.39024390243902
[4],Sigmoid,1,1.0,256,48.78048780487805
[4],Sigmoid,1,1.0,512,51.21951219512195
[4],Sigmoid,1,0.1,16,83.41463414634147
[4],Sigmoid,1,0.1,32,84.39024390243902
[4],Sigmoid,1,0.1,64,86.34146341463415
[4],Sigmoid,1,0.1,128,80.0
[4],Sigmoid,1,0.1,256,79.51219512195122
[4],Sigmoid,1,0.1,512,72.1951219512195
[4],Sigmoid,1,0.01,16,82.4390243902439
[4],Sigmoid,1,0.01,32,80.97560975609755
[4],Sigmoid,1,0.01,64,74.63414634146342
[4],Sigmoid,1,0.01,128,51.707317073170735
[4],Sigmoid,1,0.01,256,72.6829268292683
[4],Sigmoid,1,0.01,512,48.78048780487805
[4],Sigmoid,1,0.001,16,51.21951219512195
[4],Sigmoid,1,0.001,32,52.68292682926829
[4],Sigmoid,1,0.001,64,55.609756097560975
[4],Sigmoid,1,0.001,128,48.78048780487805
[4],Sigmoid,1,0.001,256,51.21951219512195
[4],Sigmoid,1,0.001,512,48.78048780487805
[4],Sigmoid,1,0.0001,16,48.78048780487805
[4],Sigmoid,1,0.0001,32,51.21951219512195
[4],Sigmoid,1,0.0001,64,48.78048780487805
[4],Sigmoid,1,0.0001,128,50.73170731707317
[4],Sigmoid,1,0.0001,256,61.46341463414634
[4],Sigmoid,1,0.0001,512,50.73170731707317
[4],Sigmoid,10,10.0,16,66.34146341463415
[4],Sigmoid,10,10.0,32,72.1951219512195
[4],Sigmoid,10,10.0,64,59.51219512195122
[4],Sigmoid,10,10.0,128,48.78048780487805
[4],Sigmoid,10,10.0,256,82.92682926829268
[4],Sigmoid,10,10.0,512,80.48780487804878
[4],Sigmoid,10,1.0,16,72.6829268292683
[4],Sigmoid,10,1.0,32,87.3170731707317
[4],Sigmoid,10,1.0,64,89.7560975609756
[4],Sigmoid,10,1.0,128,84.8780487804878
[4],Sigmoid,10,1.0,256,83.90243902439025
[4],Sigmoid,10,1.0,512,84.8780487804878
[4],Sigmoid,10,0.1,16,84.8780487804878
[4],Sigmoid,10,0.1,32,90.2439024390244
[4],Sigmoid,10,0.1,64,90.73170731707317
[4],Sigmoid,10,0.1,128,87.8048780487805
[4],Sigmoid,10,0.1,256,85.36585365853658
[4],Sigmoid,10,0.1,512,85.36585365853658
[4],Sigmoid,10,0.01,16,86.34146341463415
[4],Sigmoid,10,0.01,32,85.85365853658537
[4],Sigmoid,10,0.01,64,84.39024390243902
[4],Sigmoid,10,0.01,128,82.92682926829268
[4],Sigmoid,10,0.01,256,80.0
[4],Sigmoid,10,0.01,512,72.6829268292683
[4],Sigmoid,10,0.001,16,81.95121951219512
[4],Sigmoid,10,0.001,32,82.4390243902439
[4],Sigmoid,10,0.001,64,75.1219512195122
[4],Sigmoid,10,0.001,128,51.21951219512195
[4],Sigmoid,10,0.001,256,48.78048780487805
[4],Sigmoid,10,0.001,512,62.926829268292686
[4],Sigmoid,10,0.0001,16,48.78048780487805
[4],Sigmoid,10,0.0001,32,51.707317073170735
[4],Sigmoid,10,0.0001,64,52.68292682926829
[4],Sigmoid,10,0.0001,128,51.21951219512195
[4],Sigmoid,10,0.0001,256,51.21951219512195
[4],Sigmoid,10,0.0001,512,51.21951219512195
[4],Sigmoid,25,10.0,16,60.97560975609756
[4],Sigmoid,25,10.0,32,76.58536585365853
[4],Sigmoid,25,10.0,64,82.4390243902439
[4],Sigmoid,25,10.0,128,77.5609756097561
[4],Sigmoid,25,10.0,256,66.34146341463415
[4],Sigmoid,25,10.0,512,71.21951219512195
[4],Sigmoid,25,1.0,16,54.63414634146341
[4],Sigmoid,25,1.0,32,88.29268292682927
[4],Sigmoid,25,1.0,64,86.34146341463415
[4],Sigmoid,25,1.0,128,86.82926829268293
